"","pragmeta_trial_id","Author","DOI","Title","Rater","Eligibility","Quote_comment_Eligibility","Recruitment","Quote_comment_Recruitment","Setting","Quote_comment_Setting","Organization","Quote_comment_Organisation","Flex. delivery","Quote_comment_Flexibility_del","Flex. adherence","Quote_comment_Flexibility_adh","Follow-up","Quote_comment_FU","Outcome","Quote_comment_Prim_out","Analysis","Quote_comment_Primary_anal","module"
"1570",1570,"Mazdeh, M.; Afzali, S.; Jaafari, M. R.","NA","The therapeutic effect of Avonex, Rebif and Betaferon on EDSS and relapse in multiple sclerosis: a comparative study","Julian",3,"lot of (exclusion) criteria: Age between 14  50 yrs, definite diagnosis of MS based on clinical manifestations and performing MRI according to McDonalds criteria, acceptance of the 24 month protocol by the patients, not being pregnant or lactating, history of having received a kind of ?interferon under the supervision of a neurologist in a period of no more than 30 days prior to the study. At the onset of treatment all of the patients had an EDSS of less than 6. Exclusion criteria were as follows: 1) history of malignancy within the past five years 2) history of HIV infection, positive serology for hepatitis B and C 3) history of infectious disease within six weeks prior to the study and need for hospitalization from an infectious cause within two months prior to the study 4) any kind of hematological abnormality such as lymphocyte count ? 1 x 109/ L , platelet count ? 100 x 109/ L , neutrophil count ? 1.5 x 109/ L ,and hemoglobin level ? 8.5 g/dl 5)any kind of definite functional abnormality in body organs that disables the patient for treatment with ?interferons(criteria for functional abnormality in such cases included:creatinin ? 1.6 mg/dl , AST or ALT ? 2.5 x maximum normal values , alkaline phosphatase ?2.5 x maximum normal values ,and history of heart failure, myocardial infarction or arrhythmia within six months prior to the study) 6)vaccination using live virus vaccines within four weeks prior to the study 7) use of antimetabolites or cytotoxic drugs within six months prior to the study 8) patients with PPMS 9)any kind of elective surgery during the study 10)rise in hepatic enzymes or severe drug reactions during the follow up period.","5","nd included all the patients with MS referring to the Farshchian Hospital, Hamadan (West Iran) during the year 2005-2006, who had the following criteria:","4","single center","5","seems not many resources needed","NA","NA","NA","NA","5","only edss was measured","NA","NA","NA","NA","PragMS"
"1773",1773,"Medina-Perez, C.; de,Souza-Teixeira,F; Fernandez-Gonzalo, R.; de,Paz-Fernandez,JA","10.3233/NRE-141062","Effects of a resistance training program and subsequent detraining on muscle strength and muscle power in multiple sclerosis patients","Julian",4,"downgraded because of some sort of strict inclusion criteria: The patient inclusion criteria included a confirmed disease diagnosis by a neurologist, according to Mc-Donald criteria (McDonald, 2001); ability to walk (with or without aid) at least 20m without rest; absence of other diseases that might have affected muscle function. After a medical evaluation that confirmed patients aptitude and absence of contraindications to carry out the procedures involved in the study, subjects signed a written informed consent form to participate.","NA","All participants were recruited among six MS rehabilitation centers within the region of Castilla y LeŽon (Spain). After a group meeting where the details of the investigation were described to the patients, including possible risks and discomfort associated to the intervention, a formal invitation to take part in the study was offered.","4","downgraded because of single region, although muli-centered","4","downgraded because of deviations from usual care: The CG followed their habitual daily activities during the study period and they did not follow any kind of structured physical activity.","2","downgraded because of highly standardized Progressive resistance training: Subjects performed coupled concentric-eccentric bilateral seated knee extension training using a weight stack machine (BH® Fitness Nevada Pro-T, Spain) twice per week during 12 weeks, with at least 48 h of rest between sessions. After a standardized cycling warm-up, and one set of 5 repetitions (reps) with a light load, participants performed 3 sets of 812 reps with a load that was progressively increased from 35 to 70% of MVIC through the training period (Table 2). Recovery time between sets was 3 minutes. Subjects were requested to push with maximal effort during the concentric phase of the movement (90180?) and to lower the load (eccentric action; 18090?) in a controlled manner. All training sessions took place in MS rehabilitation centers and the patients were continuously supervised by physical therapists.","3","Downgraded: Adherence to the training intervention (e.g. EG) averaged 22.9±1.5 i f l f 24 ld i All sessions from a total of 24 planned sessions. All participants from the EG completed more than 75% of the sessions included in the resistance training program.","3","Downgraded because of intensive testing procedures: Dependent variables included maximal voluntary isometric contraction (MVIC), maximal torque, aver- age muscle power and muscle endurance. Testing was performed on three different occasions: before (week 0) and after (week 12) the training program, and after the detraining period (week 24). All testing procedures were selected according to previous studies (De Souza-Teixeira, 2009). Regardless disability status, all the subjects involved in the study were able to perform all the tests. Each participant completed the tests in a single session. Subjects were individually informed about the test procedures before initiating them. Firstly, MVIC test was performed and after a 10-minute recovery period average power and muscle endurance tests were carried out. The participants were not familiarized with the testing. Verbal standard encouragement was given throughout both tests in order to maximize motivation.","NA","many outcome none identified as primary ","5","All subjects taking part in the study (n = 42) completed all the scheduled testing protocols.","PragMS"
"1769",1769,"Millar, J. H.; Vas, C. J.; Noronha, M. J.; Liversedge, L. A.; Rawson, M. D.","10.1016/s0140-6736(67)90850-1","Long-term treatment of multiple sclerosis with corticotrophin","Julian",5,"Patients with
multiple sclerosis were randomly selected into treated and
control groups; only patients who could walk with or without
walking aids were admitted to the trial, and these cases were
initially assessed and scored during an inactive phase of the
disease. In Manchester, patients who had relapsed in the
previous eighteen months only were admitted to the trial. (...) Patients with diabetes mellitus or hypertension or who gave a
history of psychiatric illness or peptic ulcer were not admitted
to the treated group.","NA","NA","5","This controlled study was started in 1963 in three cities-
Belfast, Leeds, and Manchester.","5","seems not many resources needed","NA","NA","NA","NA","4","many assessments","NA","NA","NA","NA","PragMS"
"684",684,"Miller, L; Paul, L; Mattison, P; McFadyen, A","10.1177/0269215511398376","Evaluation of a home-based physiotherapy programme for those with moderate to severe multiple sclerosis: a randomized controlled pilot study.","Julian",4,"People moderately to severely affected by MS were recruited from the MS Service, NHS Ayrshire and Arran. Subjects had a definite diagnosis of primary or secondary progressive MS, and an EDSS of between 6.5 (constant bilateral assistance required to walk about 20 metres without resting) to 8 (essentially restricted to bed or chair or perambulated in wheelchair, but may be out of bed much of the day, retains many selfcare functions and generally has effective use of arms).10 People with MS who were medically stable were selected where cognitive function was adequate, as assessed by a Mini Mental State Examination score of 23 or over11 and had at least three identifiable physiotherapy goals were included. Potential subjects were excluded if they had rapidly progressing disease, were already involved in a physiotherapy programme, had additional neurological conditions or other medical conditions which would preclude them taking part in the study. The study was approved by the ethics committee of NHS Ayrshire and Arran and all subjects gave informed consent.","4","People moderately to severely affected by MS were recruited from the MS Service, NHS Ayrshire and Arran.

A total of 91 people were contacted, 41 agreed to participate and were screened.","5","Community; subjects homes.","4","Subjects assigned to Group 1 received physiotherapy, twice weekly for eight weeks, by an experienced domiciliary physiotherapist within their home. Each session lasted up to 60 minutes, and a task-specific programme included upper and lower limb strengthening using theraband, mobile pedals, and weights. Repetition of tasks such as sit to stand, gait, balance (using gym balls and sit fits) and stretching activities were used depending on the subjects previously identified goals. Each subject therefore received core treatments aimed to maximize strength, flexibility and function.
Subjects assigned to Group 2 received usual care, i.e. had no specific physiotherapy intervention for the duration of the eight weeks, although physiotherapy could be provided by existing domiciliary physiotherapy services. The control group were not offered the intervention at the end of the study.","4","Twenty-eight subjects completed the study as two control subjects did not complete follow-up assessments (Figure 1). In total 222 of the possible 240 physiotherapy sessions were delivered. The average number of sessions received by participants was 14.8 (out of a possible 16). None of the control group received physiotherapy treatment during the intervention period.","5","Subjects assigned to Group 2 received usual care, i.e. had no specific physiotherapy intervention for the duration of the eight weeks, although physiotherapy could be provided by existing domiciliary physiotherapy services.","3","Subjects in both groups were assessed at the beginning and at the end of the eight-week intervention period (i.e. either physiotherapy or control) and then again eight weeks later. To improve the reliability of the data, all assessments were undertaken at the Douglas Grant Rehabilitation Centre, Irvine, and the assessor remained blind to the subjects treatment group allocation.

n. Subjects were asked not to discuss their group allocation with the assessor.","5","The MS impact scale (MSIS 29), which is a measure of the physical and psychological impact of MS,12 was the primary outcome measure for the study.","4","Where there were problems with missing data due to dropouts/non-completion, the simple repeated measures ANOVA was replaced with a general linear model where missing data are estimated within the model.

Twenty-eight subjects completed the study as two control subjects did not complete follow-up assessments (Figure 1)","PragMS"
"685",685,"O'Hara, Louise; Cadbury, Heather; De, Souza Lorraine; Ide, Lorely","10.1191/0269215502cr478oa","Evaluation of the effectiveness of professionally guided self-care for people with multiple sclerosis living in the community: a randomized controlled trial.","Julian",5,"The only selection criterion was that the diagnosis of MS was con?rmed by the general practitioner. There were no exclusion criteria.","5","Participants were volunteers with MS who were recruited through voluntary organizations, were community based and lived in West London and in counties contiguous with Greater London.","4","Sessions were conducted either at participants homes or in local therapy centres.","3","Participants in the intervention group were contacted by telephone, by a health professional employed for the project, and an appointment was made to discuss self-care strategies relevant to each individual and to introduce the information booklet.

As ?ndings from the Delphi study highlighted the need for ?exibility and responsiveness to individuals the format of the discussion focused on individuals interests and concerns rather than on covering all the information contained in the booklet.4

Comment: 	Required that healthcare professionals have some minimum level of experience that is greater than what would be the case in routine care
	Had study staff who were available for continuous support and guidance throughout the trial ","4","Individuals were assigned to group or one to one sessions by the health professional in consultation with each person, and based on their needs and wishes.","NA","No detailed information","NA","No detailed information","5","Barthel Index, a measure of mobility, the SF-36, and the Standard Day Dependency Record (SDDR) which measures the need for assistance with daily activities.","NA","No detailed information.

Quote not very informative/appropriate: It was not possible to perform an intention to treat analysis as those individuals who declined the intervention also withdrew from follow-up and therefore did not complete any follow-up assessments.","PragMS"
"686",686,"Papeix, Caroline; Gambotti, Laetitia; Assouad, Rana; Ewenczyck, Claire; Tanguy, Marie-Laure; Pineau, Fanny; Houis, Marie-Claire; Mazevet, Dominique; Maillart, Elisabeth; Lubetzki, Catherine","10.1177/2055217315608864","Evaluation of an integrated multidisciplinary approach in multiple sclerosis care: A prospective, randomized, controlled study.","Julian",3,"Inclusion criteria were: having MS (MacDonald criteria); being able to complete a questionnaire; and being in need for a multidisciplinary approach, defined by the requirement, in addition to the neurology specialist, of at least two different medical (rehabilitation specialist, neurourology specialist, psychiatrist) or allied health professionals (physiotherapist, occupational therapist, social worker, psychologist, and neuropsychologist). Patients who were not living independently in the community were excluded.","3","Not reall detailed: MS patients from the outpatient clinic of the Neurology Department of Pitie-Salpetriere Hospital were prospectively enrolled in the study between March 2010 and July 2012.","3","MS patients from the outpatient clinic of the Neurology Department of Pitie-Salpetriere Hospital were prospectively enrolled in the study between March 2010 and July 2012.","5","an integrated multidisciplinary (IMD) group, consisting of an IMD approach at the Pitie-Salpetriere MS clinic, and (ii) a control group, consisting of successive, non-integrated interventions with different specialists and allied health professionals, at different times and sites (Figure 1). For patients in the IMD group, the multidisciplinary integrated outpatient clinic was planned at our MS clinic within a maximum three-month period after inclusion. These patients received a half-day (four to six hours) individually tailored assessment by the multidisciplinary group. The schedule allowed each required medical specialist (neurologist, rehabilitation specialist, neuro-urology specialist, and psychiatrist) or allied health professional (MS nurse, occupational therapist, physiotherapist, psychologist, social worker, and neuropsychologist) to assess the patients status and needs. Depending on their needs, evaluated during the inclusion visit and re-evaluated during the multidisciplinary visit, patients were seen by different MS specialists and allied health professionals.","5","Depending on their needs, evaluated during the inclusion visit and re-evaluated during the multidisciplinary visit, patients were seen by different MS specialists and allied health professionals.","3","No reported special measures to enforce engagement or compliance","4","Primary and secondary outcomes were assessed at inclusion, and after six (M6) and 12 (M12) months.

The clinical evaluating team was masked to the treatment arm.","4","The primary outcome was the change in QoL from inclusion to M6, assessed by the Multiple Sclerosis Impact Scale (MSIS-29) self-questionnaire.

The questionnaire
takes 25 minutes to complete","5","The comparisons on the variation over six and 12 months of the MSIS-29 scale and secondary criteria (HAD scale, MFIS scale, QUALIVEEN and VAS) were analyzed in intention to treat with the Mann-Whitney test.","PragMS"
"687",687,"Paul, Lorna; Coulter, Elaine H; Miller, Linda; McFadyen, Angus; Dorfman, Joe; Mattison, Paul George G","10.1177/0269215514527995","Web-based physiotherapy for people moderately affected with Multiple Sclerosis; quantitative and qualitative data from a randomized, controlled pilot study.","Julian",2,"To be included in the study participants were required to have a confirmed diagnosis of MS, an Expanded Disability Status Score of between 5 and 6.5,13 stable drug therapy for 30 days, no relapses in the previous three months, no significant co-morbidities such as coexisting cardiac or pulmonary condition and have access to the internet via personal or tablet computer.","5","From usual care: Letters were sent to 138 patients from the Multiple Sclerosis Service database, thought to be suitable for the study, inviting them to participate. Of those 37 people expressed an interest in taking part.","5","Single rehabilitation centre and participants homes.","5","Efforts made are related to the intervention","4","Online exercise diaries were monitored; participants were telephoned weekly by the physiotherapist and exercise programmes altered remotely by the physiotherapist as required.","4","To assess compliance the number of times participants logged into the website each week was recorded.","3","Outcome measures were recorded at baseline and at the end of the intervention period (week 13).","5","The primary outcome measure, the timed 25 foot walk,14 has good reliability and validity in the MS population. The time taken to walk 25ft was recorded with a stop watch and a mean of two walks recorded. ","3","Assuming that analysed as randomised.","PragMS"
"688",688,"Pozzilli, C; Brunetti, M; Amicosante, A M V; Gasperini, C; Ristori, G; Palmisano, L; Battaglia, M","10.1136/jnnp.73.3.250","Home based management in multiple sclerosis: results of a randomised controlled trial.","Julian",5,"To be eligible, all patients screened for study participation had to be affected by clinically definite multiple sclerosis and live in the Rome service area.","5","Patients were recruited from the multiple sclerosis centre of the neurological department of La Sapienza University, or from other institutional centres for multiple sclerosis in Rome.","5","Patients were recruited from the multiple sclerosis centre of the neurological department of La Sapienza University, or from other institutional centres for multiple sclerosis in Rome.","3","The type of care was more than is normally available in the community through National Health Service care. It consisted of observation, administration of intravenous drugs, nursing care, rehabilitation of the patients in their home, patient and caregiver education, psychological support, and the services of the social secretariat.","5","The multidisciplinary team collaborated with the patient, physician, and caregiver in designing individualised clinical care and in coordinating home services as appropriate for the individual patient.","3","No reported special measures to enforce engagement or compliance","4","At the end of a one year follow up period, all patients underwent the same comprehensive interview as at baseline.","5","They were assessed at baseline and one year after randomisation with validated measures of physical and psychological impairment and quality of life (SF-36 health survey).","5","ITT, see figure 2, number on participants similar to baseline","PragMS"
"689",689,"Renfrew, Linda Miller; Paul, Lorna; McFadyen, Angus; Rafferty, Danny; Moseley, Owen; Lord, Anna C; Bowers, Roy; Mattison, Paul","10.1177/0269215519842254","The clinical- and cost-effectiveness of functional electrical stimulation and ankle-foot orthoses for foot drop in Multiple Sclerosis: a multicentre randomized trial.","Julian",4,"Not clear why no ""previously used functional
electrical stimulation""

Participants required to have; a clinical diagnosis of Multiple Sclerosis, persistent
foot drop (lasting a minimum of 3 months) observed during a 5-minute walk test,
stable disease (no change in the Extended Disability Status Score12 or relapse in
44
45
46 previous 3 months), 5° of passive dorsiflexion, and tolerance of functional electrical
47 stimulation. Participants were excluded if they had; previously used functional
48 electrical stimulation or an ankle-foot orthosis for foot drop, moderate to severe
49 cognitive impairment (scored < 26, Montreal Cognitive Assessment13), foot drop due to other disorders, other conditions significantly affecting gait, contraindications to
functional electrical stimulation, marked proximal weakness, plantar flexor spasticity,
stance phase instability or severe lower limb/ trunk ataxia affecting gait.","5","Potential participants known to Multiple Sclerosis healthcare practitioners working
39 across seven out-patient centres in Scotland; Ayrshire & Arran, Greater Glasgow &
Clyde, Dumfries and Galloway, Lanarkshire, Lothian, Fife and Tayside, were
informed of the study and issued with a participant information sheet. Potential
40
41
42 participants contacted the researchers if they were interested in participating.","3","No detailed information, assuming the trial took place in the out-patient centres and at home:

Five participants
170 withdrew between the screening and assessment visit.

Participants in both groups were instructed to gradually increase the wear of their devices over the first few 6 weeks.

Potential participants known to Multiple Sclerosis healthcare practitioners working
39 across seven out-patient centres in Scotland; Ayrshire & Arran, Greater Glasgow &
Clyde, Dumfries and Galloway, Lanarkshire, Lothian, Fife and Tayside, were
informed of the study and issued with a participant information sheet.","5","Not going beyond intervention features: 

Participants randomised to the usual care group were fitted with a custom-made,
105 solid, ankle-foot orthosis by an orthotist, within four weeks of their initial assessment.
106 The recommendations made by the Best Practice Statement for ankle-foot orthoses
107 following stroke were applied.27 The orthoses were made with 5mm homopolymer
108 polypropylene, trim lines were anterior to the malleoli and reinforcements added to
109 the ankle section as required. The angle of the tibia was inclined forward,
110 approximately 10° to vertical and each orthosis was tuned by the addition or
111 removal of small heel wedges.
112
113 Participants randomised to the functional electrical stimulation group were assessed
114 and fitted with an Odstock Dropped Foot Stimulator Pace (OML, Salisbury) device by
115 a physiotherapist experienced in functional electrical stimulation (AL). Wired heel
116 switches and a stimulation frequency of 40Hz were applied. Electrode position, pulse
117 width, waveform and ramping parameters were adjusted for each participant in order
to achieve a comfortable and efficient muscle contraction. The current amplitude
ranged from 7 to 72mA (mean=40mA). Participants in both groups were instructed to
118
119
120 gradually increase the wear of their devices over the first few 6 weeks.","3","NA","3","No special measures to enforce engagement or compliance","3","Outcome measures were administered by two unblinded assessors (RH and AL) at
63 baseline (0), 3, 6 and 12 months, except for the Psychological Impact of Assistive
64 Devices Score15 which was administered at twelve months only.","5","walking speed as measured by the 5-minute self-selected walk test.","5","A Restricted Maximum
136
137 Likelihood approach to fitting mixed models was employed to allow intention to treat
138 assumptions to cope with missing data.","PragMS"
"1568",1568,"Riemenschneider, M.; Hvid, L. G.; Ringgaard, S.; Nygaard, M. K.E.; Eskildsen, S. F.; Gaemelke, T.; Magyari, M.; Jensen, H. B.; Nielsen, H. H.; Kant, M.; Falah, M.; Petersen, T.; Stenager, E.; Dalgas, U.","10.1177/13524585221079200","Investigating the potential disease-modifying and neuroprotective efficacy of exercise therapy early in the disease course of multiple sclerosis: The Early Multiple Sclerosis Exercise Study (EMSES)","Julian",4,"Inclusion criteria were (1) 1860? years of age, (2) ?2?years since clinical diagnosis with relapsing remitting MS (RRMS) and (3) no relapses or changes in medication status 8?weeks prior to inclusion.","NA","Patients (n?=?84) were recruited in collaboration with six Danish regional MS clinics and The Danish MS Society.","5","multi-center","NA","no information on resources","5","Supervised exercise therapy group
The supervised exercise sessions were performed twice weekly for the full study period of 48?weeks, and was planned on the basis of four principles (adapted from Stathopoulos and Felson Duchan)13: (1) individual tailoring, (2) application of exercise types matching the goal of the intervention, (3) progressive overload and (4) sufficient intensity to induce the desired effects of the intervention.","3","Downgraded because of adherence measurements took place: Patients in the supervised exercise group completed 90.0 (8.6)% of the planned sessions at an average intensity of 84.4 (3.0)% HRmax (for comparison, the planned average intensity was 76.2% HRmax).","3","downgraded because of mri assessments for all patients","3","downgraded because of co-primary outcome: The relapse rate and the global brain atrophy rate were the primary outcomes of this study.","5"," ITT and <10% attrition","PragMS"
"690",690,"Solari, Alessandra; Giordano, Andrea; Patti, Francesco; Grasso, Maria Grazia; Confalonieri, Paolo; Palmisano, Lucia; Ponzio, Michela; Borreani, Claudia; Rosato, Rosalba; Veronese, Simone; Zaratin, Paola; Battaglia, Mario Alberto; PeNSAMI Project","10.1177/1352458517704078","Randomized controlled trial of a home-based palliative approach for people with severe multiple sclerosis.","Julian",5,"Participants were non-institutionalized
MS,1,13
adults (age???18?years) with severe MS and their primary carers. Other patient inclusion criteria were primary or secondary progressive
Expanded Disability Status Scale (EDSS) score???8.0,14 complex symptoms,15 and ?2?unmet care needs.16 The carer (a family member, relative, or friend of the patient) was his or her next of kin and was designated by the patient except for patients with severe cognitive compromise.","NA","-","NA","-","3","Based on the principles of PC,17 each center had a HPA team consisting of a physician (neurologist or physiatrist), a nurse (case manager and team leader), a psychologist, and a social worker. Nurses of the Milan and Rome centers had degrees and worked full time in PC; the Catania nurse attended a week-long individual training course. Prior to study start, all team members were trained in the HPA intervention; 3 and 6?months after trial initiation they met again to share experiences, fine-tune the protocol, and discuss difficult cases.","NA","-","NA","-","3","Intensive assessments at visits 1-3: A blind examiner assessed
dyads at baseline, 3?months, and 6?months.","5","The pre-specified primary endpoints were changes in patient quality of life (SEIQoL-DW) and symptom burden (PC Outcome Scale-Symptoms-MS, POS-S-MS).","5","ITT and <10% attrition (with or without methods to address missing data): 5

All randomly assigned patients were included in the main intention-to-treat analysis, provided that at least one contact with the team occurred (HPA group).","PragMS"
"1569",1569,"Straudi, S.; De,Marco,G; Martinuzzi, C.; Baroni, A.; Lamberti, N.; Brondi, L.; Da,Roit,M; Pizzongolo, L. D.M.; Basaglia, N.; Manfredini, F.","10.1016/j.msard.2022.103721","Combining a supervised and home-based task-oriented circuit training improves walking endurance in patients with multiple sclerosis. The MS_TOCT randomized-controlled trial","Julian",5,"Justified: The inclusion criteria were: males and females; age 18 to 70; diagnosis of MS (primary or secondary progressive, relapsing-remitting), without relapses in the preceding three months and an Expanded Disability Status Scale (EDSS) score between 4 and 5.5. This criteria reflects the inclusion of PwMS with an unassisted but limited walking competency (100500 m). The exclusion criteria were: other conditions that may affect motor function, impaired cognitive functioning that interferes with the acquisition of the consent to the study","5","Patients have been recruited at Ferrara University Hospital from patients who attend the Rehabilitation Outpatient Clinic for gait rehabilitation.","4","single specialized center","4","not many extra resources: TOCT includes six workstations with five levels of complexity (step, slalom, tandem exercise, goals, obstacles, long step). PwMS exercised for 5 min in each one (3 min of activities and 2 min of rest). A full description of exercise protocol is available elsewhere (Straudi et al., 2014). They were encouraged to increase their level of functioning among sessions. They underwent two laps during each session that take about 60 min (6 workstations x 5 min x 2 laps), with 10 min of rest after each lap. In addition, the walking practice was trained by 30 min walking on the treadmill, including rests if necessary. During TOCT, they received feedback (visual and auditory) from the physiotherapist. One session included up to three patients and lasted 120 min, five days/week for two weeks. After the supervised two weeks (Phase 1), a tailored home-based TOCT program was delivered to subjects so that they can independently train for the following 12 weeks (Phase 2). The investigators provided an illustrated brochure and the training material (i.e. stepper, stop-watch, small obstacles).
At home, we recommended 60-minute sessions three times/week. The home-based program includes overground walking practice and exercises with similar modalities and difficulty as learnt during Phase 1. Patients recorded the frequency and duration of the training in a precompiled logbook. Patients were given the contact number of the hospital to contact if they needed it. Home-based adherence was monitored using a Visual Analog Scale during each monthly visit. Moreover, the accuracy and the number of repetitions achieved for each exercise were assessed to provide further feedback and adapt the program to the subjects skills. Indeed, the difficulty of the activities was modified in the case in which the patients improved.","5","phase 1: protocol but rests if necessary: They were encouraged to increase their level of functioning among sessions. They underwent two laps during each session that take about 60 min (6 workstations x 5 min x 2 laps), with 10 min of rest after each lap. In addition, the walking practice was trained by 30 min walking on the treadmill, including rests if necessary.

tailored home-based TOCT program was delivered to subjects so that they can independently train for the following 12 weeks (Phase 2)..... Indeed, the difficulty of the activities was modified in the case in which the patients improved.","3","Home-based adherence was monitored using a Visual Analog Scale during each monthly visit. Moreover, the accuracy and the number of repetitions achieved for each exercise were assessed to provide further feedback and adapt the program to the subjects skills.","4","Intensive fu assessments","5","The primary outcome measure was the 6-minute walking test (6MWT) for walking endurance","5","An intention-to-treat analysis was carried out on all outcome measures, handling missing data (n = 2 at T1, n = 7 at T2) with the last observation carried forward approach","PragMS"
"1567",1567,"Stuifbergen, Alexa K; Becker, Heather; Perez, Francisco; Morrison, Janet; Brown, Adama; Kullberg, Vicki; Zhang, Wenhui","10.1016/j.dhjo.2018.02.001","Computer-assisted cognitive rehabilitation in persons with multiple sclerosis: Results of a multi-site randomized controlled trial with six month follow-up.","Julian",5,"eligibility criteria (1860 years of age, able to understand and comply with the study protocol, visual acuity with correction sufficient to work on a computer screen, clinically definite MS for at least 6 months and exacerbation free for 90 days). The Perceived Deficits Questionnaire was administered by phone, and those scoring at least 10 (indicating some problems in at least 5 areas) were eligible to participate.","3","recr. efforts: recruited from three large metropolitan communities in Texas: Houston, San Antonio and Dallas... via physician referral, targeted mailings to persons with MS on the mailing list of the National MS Society, contact with support groups, and notices in MS newsletters and web sites","5","multicenter: three large metropolitan communities in Texas","5","seems no additional efforts: Group componentThe first four sessions focused on common cognitive problems experienced with MS (attention and processing speed, memory and language, visuospatial and executive functioning) and development of relevant compensatory strategies. The final four sessions focused on lifestyle behaviors to support cognitive functioning, including managing fatigue and stress and increasing physical activity. Process aspects of the intervention focused on building self-efficacy for maximizing cognitive functioning through verbal persuasion, performance accomplishment of new behaviors and role modeling.35 Detailed intervention materials are available from the first author.
Computer protocolFollowing a successful pilot, the PIs contracted with Lumos Labs for use of components of the Lumosity program to reduce MS-specific deficits. The Lumosity program delivers interactive programs that run directly in standard web browsers and is designed to adapt to the individual user and offers novel, engaging, and challenging tasks within an integrated, hierarchical structure.23 The facilitator prescribed exercises from a study-specific protocol addressing the most common deficits experienced by persons with MS (attention, memory, flexibility, and problem solving). The games/tasks (see Table 1) were arranged so that the most basic cognitive skills (attention) were addressed first. Each participant was asked to complete 3 sessions (4560 min of training) a day three times a week, (approximately 45 games) and to keep a written log of practice time. The researchers monitored exercise practice and completion.","NA","NA","3","downgraded because adherence was measured: Overall, participation in the intervention was high. The mean number of classes attended was 6.4 (SD = 2.3, range 08) for those randomized to the MAPSS-MS group. Although individuals varied their computer training time from week to week, 68% met or exceeded the total time prescribed over the 8-week intervention. About half met or exceeded the goal each week. By contrast, 41 of the 90 comparison group participants reported time spent on MyBrain game, ranging from an average of 10 min per week to 370 min; half listed 45 min or less per week.","3","Downgraded because of intensive and frequent testing procedures","5","primary outcome of
overall neurocognitive competence in activities of daily living (verbal memory performance, use of cognitive strategies and performance on cognitive-related IADLs).","5","ITT and <25% attrition WITH appropriate methods to address missing data (i.e. multiple
imputation, covariate adjustment): 4

For the current study, we employed intention-to-treat strategies to handle missing data using a last observation carried forward (LOCF) strategy in which missing data points are imputed based on the participants existing data.","PragMS"
